NAICS6_Make,NAICS6_Use,ProVal
444000,112300,3
447000,112300,54
454000,112300,1
481000,112300,44
482000,112300,420
483000,112300,49
484000,112300,1530.625
486000,112300,5
493000,112300,20.17283951
511120,112300,2.722222222
511200,112300,1.814814815
517110,112300,40.52336449
517210,112300,19.24859813
517A00,112300,8.104672897
522A00,112300,14.41433022
52A000,112300,23.68068536
523900,112300,5.540069686
523A00,112300,1.846689895
5241XX,112300,133.777501
524200,112300,20.58115401
531ORE,112300,327.1676715
532100,112300,90.10576314
532400,112300,93.80873971
541100,112300,58.68010076
541512,112300,13.00928793
54151A,112300,17.73993808
541200,112300,113.2496791
541940,112300,388.7849807
561700,112300,56.21212121
561400,112300,2.121212121
562000,112300,29.37238494
611A00,112300,1.071428571
711100,112300,1.188679245
711200,112300,3.566037736
713900,112300,3.695652174
722110,112300,49.35
722211,112300,4.2
722A00,112300,4.2
811100,112300,4.098360656
811200,112300,2.049180328
811300,112300,1.024590164
813B00,112300,9.221311475
491000,112300,0.736842105
S00300,112300,159.6025779
1111B0,112A00,351.9719367
111900,112A00,25.14085262
112120,112A00,3.428298085
1121A0,112A00,377.1127894
112A00,112A00,5800.68036
115000,112A00,554.2885522
212310,112A00,34.62512803
2123A0,112A00,1.871628542
221100,112A00,105.831018
221200,112A00,35.94260988
221300,112A00,15.97449328
230301,112A00,124.594012
321100,112A00,1.869387755
331200,112A00,2.052631579
332200,112A00,20.11152615
332310,112A00,2.3660619
332710,112A00,1.18303095
332999,112A00,1.18303095
333111,112A00,173.5104408
333920,112A00,0.850541377
333991,112A00,1.701082753
33399A,112A00,1.701082753
335911,112A00,111.1151663
336310,112A00,3.697749196
336320,112A00,27.11682744
336360,112A00,1.232583065
336390,112A00,22.18649518
311119,112A00,2419.801356
311210,112A00,11.19846366
311221,112A00,2.799615916
311224,112A00,124.1163056
311300,112A00,3.732821221
311514,112A00,4.666026526
31161A,112A00,6.532437136
312140,112A00,37.32821221
316000,112A00,34.82926829
324110,112A00,298.4553594
325180,112A00,2.487347063
325412,112A00,42.28490007
325414,112A00,1.658231375
325320,112A00,114.4179649
3259A0,112A00,6.632925501
326210,112A00,32.09797918
326220,112A00,3.009185548
423100,112A00,18.05237767
423400,112A00,5.157822192
423600,112A00,15.47346657
423800,112A00,105.7353549
423A00,112A00,24.49965541
424200,112A00,28.36802205
424400,112A00,41.26257753
424700,112A00,86.39352171
424A00,112A00,2135.338387
425000,112A00,206.3128877
445000,112A00,2
452000,112A00,4
444000,112A00,2
447000,112A00,36
454000,112A00,1
481000,112A00,11
482000,112A00,44
483000,112A00,9
484000,112A00,1079.1875
486000,112A00,2
493000,112A00,26.54320988
511200,112A00,0.907407407
517110,112A00,16.20934579
517210,112A00,20.26168224
522A00,112A00,26.7694704
52A000,112A00,52.50934579
523900,112A00,3.693379791
523A00,112A00,0.923344948
5241XX,112A00,122.4578663
524200,112A00,42.19136571
531ORE,112A00,503.4799325
532100,112A00,53.07599747
532400,112A00,55.54464851
541100,112A00,35.7581864
541512,112A00,8.278637771
54151A,112A00,11.82662539
541200,112A00,61.87869063
541300,112A00,1.167522465
541940,112A00,87.56418485
561300,112A00,5.303030303
561700,112A00,25.45454545
561400,112A00,1.060606061
562000,112A00,9.790794979
611A00,112A00,1.071428571
711100,112A00,1.188679245
711200,112A00,3.566037736
713900,112A00,2.217391304
722110,112A00,16.8
722211,112A00,4.2
722A00,112A00,4.2
811100,112A00,14.3442623
811200,112A00,7.172131148
811300,112A00,2.049180328
813B00,112A00,5.12295082
S00300,112A00,82.94307197
112A00,113000,5.74498229
113000,113000,3883.156709
115000,113000,5708.640688
212100,113000,1
221100,113000,10.63636364
221200,113000,20.45454545
221300,113000,1.636363636
230301,113000,6.810810811
333111,113000,57.53846154
333920,113000,2.397435897
336310,113000,1.081081081
336350,113000,1.081081081
336390,113000,1.081081081
3363A0,113000,1.081081081
311119,113000,24.49355433
324110,113000,218.5139022
324190,113000,2.042186002
325320,113000,0.690339426
423100,113000,1.48
423400,113000,10.36
423600,113000,1.48
423800,113000,59.2
423A00,113000,1133.68
424700,113000,116.92
424A00,113000,38.48
425000,113000,2.96
441000,113000,1
482000,113000,12
483000,113000,1
484000,113000,184
486000,113000,2
511200,113000,1
517110,113000,21.18421053
517210,113000,8.289473684
522A00,113000,1.41509434
52A000,113000,5.660377358
523900,113000,0.846153846
5241XX,113000,9.366972477
524200,113000,51.51834862
531ORE,113000,90.88235294
532100,113000,2.379084967
532400,113000,118.9542484
541100,113000,5.52293578
541512,113000,8.680851064
54151A,113000,8.680851064
541200,113000,17.15169367
541300,113000,61.93667158
541800,113000,0.95287187
5419A0,113000,0.95287187
561700,113000,7.111111111
561500,113000,1.015873016
562000,113000,2.769230769
711500,113000,1
722110,113000,22.53658537
722211,113000,9.658536585
811100,113000,102.5619335
811200,113000,71.29305136
811300,113000,182.6102719
811400,113000,31.26888218
S00203,113000,1.333333333
S00300,113000,19.57894737
115000,114000,24.01952603
221100,114000,21.27272727
221200,114000,10.63636364
221300,114000,3.272727273
230301,114000,19.2972973
321100,114000,3.333333333
321910,114000,34.66666667
327310,114000,2.356164384
327400,114000,7.068493151
332200,114000,4.607329843
332320,114000,16.58638743
332500,114000,35.93717277
332600,114000,16.58638743
332710,114000,7.371727749
332999,114000,6.45026178
333111,114000,50.34615385
333112,114000,56.33974359
333611,114000,63.53205128
333912,114000,9.58974359
335110,114000,1.959183673
335120,114000,120.4897959
335312,114000,30.36734694
335911,114000,21.55102041
336310,114000,9.72972973
336320,114000,10.81081081
336350,114000,29.18918919
336390,114000,29.18918919
3363A0,114000,4.324324324
336611,114000,28
339990,114000,3
311119,114000,23.51381215
314900,114000,32.33333333
324110,114000,251.8696069
324190,114000,44.92809204
325320,114000,6.903394256
326120,114000,13.58677686
326190,114000,33.96694215
326210,114000,3.396694215
326290,114000,9.05785124
423100,114000,20.72
423400,114000,7.4
423600,114000,59.2
423800,114000,79.92
423A00,114000,54.76
424400,114000,5.92
424700,114000,113.96
424A00,114000,32.56
425000,114000,4.44
441000,114000,1
482000,114000,3
483000,114000,3
484000,114000,56
485000,114000,3
486000,114000,3
48A000,114000,220.9158416
522A00,114000,18.39622642
52A000,114000,13.44339623
523900,114000,0.846153846
523A00,114000,17.76923077
5241XX,114000,796.1926606
524200,114000,32.78440367
531ORE,114000,7.573529412
541100,114000,3.155963303
541512,114000,3.255319149
54151A,114000,3.255319149
541200,114000,30.49189985
541300,114000,7.622974963
541610,114000,2.858615611
5416A0,114000,3.811487482
541800,114000,3.811487482
541940,114000,75.27687776
5419A0,114000,4.764359352
561700,114000,10.15873016
561500,114000,1.015873016
562000,114000,4.615384615
611A00,114000,1.6
722110,114000,4.292682927
722211,114000,2.146341463
811400,114000,2.501510574
S00203,114000,2.666666667
S00402,114000,80.4
S00300,114000,2.175438596
111400,115000,265.2266824
1121A0,115000,44.04486423
112A00,115000,344.6989374
113000,115000,8.006508678
221100,115000,35.18181818
221200,115000,8.181818182
221300,115000,4.909090909
230301,115000,15.89189189
327200,115000,1.178082192
33211A,115000,2.764397906
332500,115000,1.842931937
332710,115000,0.921465969
332999,115000,3.685863874
333112,115000,35.96153846
333920,115000,1.198717949
334514,115000,1
335911,115000,0.979591837
336320,115000,2.162162162
336350,115000,2.162162162
