NAICSIO,Industry Title,NAICS2012,Proportion
322220,Paper bag and coated and treated paper manufacturing,322220,1
322230,Stationery product manufacturing,322230,1
322291,Sanitary paper product manufacturing,322291,1
322299,All other converted paper product manufacturing,322299,1
323110,Printing,323111,1
323110,Printing,323113,1
323110,Printing,323117,1
323120,Support activities for printing,323120,1
324110,Petroleum refineries,324110,1
324121,Asphalt paving mixture and block manufacturing,324121,1
324122,Asphalt shingle and coating materials manufacturing,324122,1
324190,Other petroleum and coal products manufacturing,324191,1
324190,Other petroleum and coal products manufacturing,324199,1
325110,Petrochemical manufacturing,325110,1
325120,Industrial gas manufacturing,325120,1
325130,Synthetic dye and pigment manufacturing,325130,1
325180,Other basic inorganic chemical manufacturing,325180,1
325190,Other basic organic chemical manufacturing,325193,1
325190,Other basic organic chemical manufacturing,325194,1
325190,Other basic organic chemical manufacturing,325199,1
325211,Plastics material and resin manufacturing,325211,1
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325212,1
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325220,1
325310,Fertilizer manufacturing,325311,1
325310,Fertilizer manufacturing,325312,1
325310,Fertilizer manufacturing,325314,1
325320,Pesticide and other agricultural chemical manufacturing,325320,1
325411,Medicinal and botanical manufacturing,325411,1
325412,Pharmaceutical preparation manufacturing,325412,1
325413,In-vitro diagnostic substance manufacturing,325413,1
325414,Biological product (except diagnostic) manufacturing,325414,1
325510,Paint and coating manufacturing,325510,1
325520,Adhesive manufacturing,325520,1
325610,Soap and cleaning compound manufacturing,325611,1
325610,Soap and cleaning compound manufacturing,325612,1
325610,Soap and cleaning compound manufacturing,325613,1
325620,Toilet preparation manufacturing,325620,1
325910,Printing ink manufacturing,325910,1
3259A0,All other chemical product and preparation manufacturing,325920,1
3259A0,All other chemical product and preparation manufacturing,325991,1
3259A0,All other chemical product and preparation manufacturing,325992,1
3259A0,All other chemical product and preparation manufacturing,325998,1
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,326111,1
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,326112,1
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,326113,1
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326121,1
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326122,1
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",326130,1
326140,Polystyrene foam product manufacturing,326140,1
326150,Urethane and other foam product (except polystyrene) manufacturing,326150,1
326160,Plastics bottle manufacturing,326160,1
326190,Other plastics product manufacturing,326191,1
326190,Other plastics product manufacturing,326199,1
326210,Tire manufacturing,326211,1
326210,Tire manufacturing,326212,1
326220,Rubber and plastics hoses and belting manufacturing,326220,1
326290,Other rubber product manufacturing,326291,1
326290,Other rubber product manufacturing,326299,1
327100,Clay product and refractory manufacturing,327110,1
327100,Clay product and refractory manufacturing,327120,1
327200,Glass and glass product manufacturing,327211,1
327200,Glass and glass product manufacturing,327212,1
327200,Glass and glass product manufacturing,327213,1
327200,Glass and glass product manufacturing,327215,1
327310,Cement manufacturing,327310,1
327320,Ready-mix concrete manufacturing,327320,1
327330,"Concrete pipe, brick, and block manufacturing",327331,1
327330,"Concrete pipe, brick, and block manufacturing",327332,1
327390,Other concrete product manufacturing,327390,1
327400,Lime and gypsum product manufacturing,327410,1
327400,Lime and gypsum product manufacturing,327420,1
327910,Abrasive product manufacturing,327910,1
327991,Cut stone and stone product manufacturing,327991,1
327992,Ground or treated mineral and earth manufacturing,327992,1
327993,Mineral wool manufacturing,327993,1
327999,Miscellaneous nonmetallic mineral products,327999,1
331110,Iron and steel mills and ferroalloy manufacturing,331110,1
331200,Steel product manufacturing from purchased steel,331210,1
331200,Steel product manufacturing from purchased steel,331221,1
331200,Steel product manufacturing from purchased steel,331222,1
331313,Alumina refining and primary aluminum production,331313,1
331314,Secondary smelting and alloying of aluminum,331314,1
33131B,Aluminum product manufacturing from purchased aluminum,331315,1
33131B,Aluminum product manufacturing from purchased aluminum,331318,1
331410,Nonferrous metal (except aluminum) smelting and refining,331410,1
331420,"Copper rolling, drawing, extruding and alloying",331420,1
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331491,1
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331492,1
331510,Ferrous metal foundries,331511,1
331510,Ferrous metal foundries,331512,1
331510,Ferrous metal foundries,331513,1
331520,Nonferrous metal foundries,331523,1
331520,Nonferrous metal foundries,331524,1
331520,Nonferrous metal foundries,331529,1
332114,Custom roll forming,332114,1
332119,"Metal crown, closure, and other metal stamping (except automotive)",332119,1
33211A,"All other forging, stamping, and sintering",332111,1
33211A,"All other forging, stamping, and sintering",332112,1
33211A,"All other forging, stamping, and sintering",332117,1
332200,Cutlery and handtool manufacturing,332215,1
332200,Cutlery and handtool manufacturing,332216,1
332310,Plate work and fabricated structural product manufacturing,332311,1
332310,Plate work and fabricated structural product manufacturing,332312,1
332310,Plate work and fabricated structural product manufacturing,332313,1
332320,Ornamental and architectural metal products manufacturing,332321,1
332320,Ornamental and architectural metal products manufacturing,332322,1
332320,Ornamental and architectural metal products manufacturing,332323,1
332410,Power boiler and heat exchanger manufacturing,332410,1
332420,Metal tank (heavy gauge) manufacturing,332420,1
332430,"Metal can, box, and other metal container (light gauge) manufacturing",332431,1
332430,"Metal can, box, and other metal container (light gauge) manufacturing",332439,1
332500,Hardware manufacturing,332510,1
332600,Spring and wire product manufacturing,332613,1
332600,Spring and wire product manufacturing,332618,1
332710,Machine shops,332710,1
332720,"Turned product and screw, nut, and bolt manufacturing",332721,1
332720,"Turned product and screw, nut, and bolt manufacturing",332722,1
332800,"Coating, engraving, heat treating and allied activities",332811,1
332800,"Coating, engraving, heat treating and allied activities",332812,1
332800,"Coating, engraving, heat treating and allied activities",332813,1
332913,Plumbing fixture fitting and trim manufacturing,332913,1
33291A,Valve and fittings other than plumbing,332911,1
33291A,Valve and fittings other than plumbing,332912,1
33291A,Valve and fittings other than plumbing,332919,1
332991,Ball and roller bearing manufacturing,332991,1
332996,Fabricated pipe and pipe fitting manufacturing,332996,1
332999,Other fabricated metal manufacturing,332999,1
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332992,1
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332993,1
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332994,1
333111,Farm machinery and equipment manufacturing,333111,1
333112,Lawn and garden equipment manufacturing,333112,1
333120,Construction machinery manufacturing,333120,1
333130,Mining and oil and gas field machinery manufacturing,333131,1
333130,Mining and oil and gas field machinery manufacturing,333132,1
333242,Semiconductor machinery manufacturing,333242,1
33329A,Other industrial machinery manufacturing,333241,1
33329A,Other industrial machinery manufacturing,333243,1
33329A,Other industrial machinery manufacturing,333244,1
33329A,Other industrial machinery manufacturing,333249,1
333314,Optical instrument and lens manufacturing,333314,1
333316,Photographic and photocopying equipment manufacturing,333316,1
333318,Other commercial and service industry machinery manufacturing,333318,1
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,333413,1
333414,Heating equipment (except warm air furnaces) manufacturing,333414,1
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",333415,1
333511,Industrial mold manufacturing,333511,1
333514,"Special tool, die, jig, and fixture manufacturing",333514,1
333517,Machine tool manufacturing,333517,1
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333515,1
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333519,1
333611,Turbine and turbine generator set units manufacturing,333611,1
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",333612,1
333613,Mechanical power transmission equipment manufacturing,333613,1
333618,Other engine equipment manufacturing,333618,1
333912,Air and gas compressor manufacturing,333912,1
33391A,Pump and pumping equipment manufacturing,333911,1
33391A,Pump and pumping equipment manufacturing,333913,1
333920,Material handling equipment manufacturing,333921,1
333920,Material handling equipment manufacturing,333922,1
333920,Material handling equipment manufacturing,333923,1
333920,Material handling equipment manufacturing,333924,1
333991,Power-driven handtool manufacturing,333991,1
333993,Packaging machinery manufacturing,333993,1
333994,Industrial process furnace and oven manufacturing,333994,1
33399A,Other general purpose machinery manufacturing,333992,1
33399A,Other general purpose machinery manufacturing,333997,1
33399A,Other general purpose machinery manufacturing,333999,1
33399B,Fluid power process machinery,333995,1
33399B,Fluid power process machinery,333996,1
334111,Electronic computer manufacturing,334111,1
334112,Computer storage device manufacturing,334112,1
334118,Computer terminals and other computer peripheral equipment manufacturing,334118,1
334210,Telephone apparatus manufacturing,334210,1
334220,Broadcast and wireless communications equipment,334220,1
334290,Other communications equipment manufacturing,334290,1
334300,Audio and video equipment manufacturing,334310,1
334413,Semiconductor and related device manufacturing,334413,1
334418,Printed circuit assembly (electronic assembly) manufacturing,334418,1
33441A,Other electronic component manufacturing,334412,1
33441A,Other electronic component manufacturing,334416,1
33441A,Other electronic component manufacturing,334417,1
33441A,Other electronic component manufacturing,334419,1
334510,Electromedical and electrotherapeutic apparatus manufacturing,334510,1
334511,"Search, detection, and navigation instruments manufacturing",334511,1
334512,Automatic environmental control manufacturing,334512,1
334513,Industrial process variable instruments manufacturing,334513,1
334514,Totalizing fluid meter and counting device manufacturing,334514,1
334515,Electricity and signal testing instruments manufacturing,334515,1
334516,Analytical laboratory instrument manufacturing,334516,1
334517,Irradiation apparatus manufacturing,334517,1
33451A,"Watch, clock, and other measuring and controlling device manufacturing",334519,1
334610,Manufacturing and reproducing magnetic and optical media,334613,1
334610,Manufacturing and reproducing magnetic and optical media,334614,1
335110,Electric lamp bulb and part manufacturing,335110,1
335120,Lighting fixture manufacturing,335121,1
335120,Lighting fixture manufacturing,335122,1
335120,Lighting fixture manufacturing,335129,1
335210,Small electrical appliance manufacturing,335210,1
335221,Household cooking appliance manufacturing,335221,1
335222,Household refrigerator and home freezer manufacturing,335222,1
335224,Household laundry equipment manufacturing,335224,1
335228,Other major household appliance manufacturing,335228,1
335311,"Power, distribution, and specialty transformer manufacturing",335311,1
335312,Motor and generator manufacturing,335312,1
335313,Switchgear and switchboard apparatus manufacturing,335313,1
335314,Relay and industrial control manufacturing,335314,1
335911,Storage battery manufacturing,335911,1
335912,Primary battery manufacturing,335912,1
335920,Communication and energy wire and cable manufacturing,335921,1
335920,Communication and energy wire and cable manufacturing,335929,1
335930,Wiring device manufacturing,335931,1
335930,Wiring device manufacturing,335932,1
335991,Carbon and graphite product manufacturing,335991,1
335999,All other miscellaneous electrical equipment and component manufacturing,335999,1
336111,Automobile manufacturing,336111,1
336112,Light truck and utility vehicle manufacturing,336112,1
336120,Heavy duty truck manufacturing,336120,1
336211,Motor vehicle body manufacturing,336211,1
336212,Truck trailer manufacturing,336212,1
336213,Motor home manufacturing,336213,1
336214,Travel trailer and camper manufacturing,336214,1
336310,Motor vehicle gasoline engine and engine parts manufacturing,336310,1
336320,Motor vehicle electrical and electronic equipment manufacturing,336320,1
336350,Motor vehicle transmission and power train parts manufacturing,336350,1
336360,Motor vehicle seating and interior trim manufacturing,336360,1
336370,Motor vehicle metal stamping,336370,1
336390,Other motor vehicle parts manufacturing,336390,1
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",336330,1
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",336340,1
336411,Aircraft manufacturing,336411,1
336412,Aircraft engine and engine parts manufacturing,336412,1
336413,Other aircraft parts and auxiliary equipment manufacturing,336413,1
336414,Guided missile and space vehicle manufacturing,336414,1
33641A,Propulsion units and parts for space vehicles and guided missiles,336415,1
33641A,Propulsion units and parts for space vehicles and guided missiles,336419,1
336500,Railroad rolling stock manufacturing,336510,1
336611,Ship building and repairing,336611,1
336612,Boat building,336612,1
336991,"Motorcycle, bicycle, and parts manufacturing",336991,1
336992,"Military armored vehicle, tank, and tank component manufacturing",336992,1
336999,All other transportation equipment manufacturing,336999,1
337110,Wood kitchen cabinet and countertop manufacturing,337110,1
337121,Upholstered household furniture manufacturing,337121,1
337122,Nonupholstered wood household furniture manufacturing,337122,1
337127,Institutional furniture manufacturing,337127,1
33712N,Other household nonupholstered furniture,337124,1
33712N,Other household nonupholstered furniture,337125,1
337215,"Showcase, partition, shelving, and locker manufacturing",337215,1
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337211,1
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337212,1
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337214,1
337900,Other furniture related product manufacturing,337910,1
337900,Other furniture related product manufacturing,337920,1
339112,Surgical and medical instrument manufacturing,339112,1
339113,Surgical appliance and supplies manufacturing,339113,1
339114,Dental equipment and supplies manufacturing,339114,1
339115,Ophthalmic goods manufacturing,339115,1
339116,Dental laboratories,339116,1
339910,Jewelry and silverware manufacturing,339910,1
339920,Sporting and athletic goods manufacturing,339920,1
339930,"Doll, toy, and game manufacturing",339930,1
339940,Office supplies (except paper) manufacturing,339940,1
339950,Sign manufacturing,339950,1
339990,All other miscellaneous manufacturing,339991,1
339990,All other miscellaneous manufacturing,339992,1
339990,All other miscellaneous manufacturing,339993,1
339990,All other miscellaneous manufacturing,339994,1
339990,All other miscellaneous manufacturing,339995,1
339990,All other miscellaneous manufacturing,339999,1
420000,Motor vehicle and motor vehicle parts and supplies,423110,1
420000,Motor vehicle and motor vehicle parts and supplies,423120,1
420000,Motor vehicle and motor vehicle parts and supplies,423130,1
420000,Motor vehicle and motor vehicle parts and supplies,423140,1
420000,Other durable goods merchant wholesalers,423210,1
420000,Other durable goods merchant wholesalers,423220,1
420000,Other durable goods merchant wholesalers,423310,1
420000,Other durable goods merchant wholesalers,423320,1
420000,Other durable goods merchant wholesalers,423330,1
420000,Other durable goods merchant wholesalers,423390,1
420000,Professional and commercial equipment and supplies,423410,1
420000,Professional and commercial equipment and supplies,423420,1
420000,Professional and commercial equipment and supplies,423430,1
420000,Professional and commercial equipment and supplies,423440,1
420000,Professional and commercial equipment and supplies,423450,1
420000,Professional and commercial equipment and supplies,423460,1
420000,Professional and commercial equipment and supplies,423490,1
420000,Other durable goods merchant wholesalers,423510,1
420000,Other durable goods merchant wholesalers,423520,1
420000,Household appliances and electrical and electronic goods,423610,1
420000,Household appliances and electrical and electronic goods,423620,1
420000,Household appliances and electrical and electronic goods,423690,1
420000,Other durable goods merchant wholesalers,423710,1
420000,Other durable goods merchant wholesalers,423720,1
420000,Other durable goods merchant wholesalers,423730,1
420000,Other durable goods merchant wholesalers,423740,1
420000,"Machinery, equipment, and supplies",423810,1
420000,"Machinery, equipment, and supplies",423820,1
420000,"Machinery, equipment, and supplies",423830,1
420000,"Machinery, equipment, and supplies",423840,1
420000,"Machinery, equipment, and supplies",423850,1
420000,"Machinery, equipment, and supplies",423860,1
420000,Other durable goods merchant wholesalers,423910,1
420000,Other durable goods merchant wholesalers,423920,1
420000,Other durable goods merchant wholesalers,423930,1
420000,Other durable goods merchant wholesalers,423940,1
420000,Other durable goods merchant wholesalers,423990,1
420000,Other nondurable goods merchant wholesalers,424110,1
420000,Other nondurable goods merchant wholesalers,424120,1
420000,Other nondurable goods merchant wholesalers,424130,1
420000,Drugs and druggists' sundries,424210,1
420000,Other nondurable goods merchant wholesalers,424310,1
420000,Other nondurable goods merchant wholesalers,424320,1
420000,Other nondurable goods merchant wholesalers,424330,1
420000,Other nondurable goods merchant wholesalers,424340,1
420000,Grocery and related product wholesalers,424410,1
420000,Grocery and related product wholesalers,424420,1
420000,Grocery and related product wholesalers,424430,1
420000,Grocery and related product wholesalers,424440,1
420000,Grocery and related product wholesalers,424450,1
420000,Grocery and related product wholesalers,424460,1
420000,Grocery and related product wholesalers,424470,1
420000,Grocery and related product wholesalers,424480,1
420000,Grocery and related product wholesalers,424490,1
420000,Other nondurable goods merchant wholesalers,424510,1
420000,Other nondurable goods merchant wholesalers,424520,1
420000,Other nondurable goods merchant wholesalers,424590,1
420000,Other nondurable goods merchant wholesalers,424610,1
420000,Other nondurable goods merchant wholesalers,424690,1
420000,Petroleum and petroleum products,424710,1
420000,Petroleum and petroleum products,424720,1
420000,Other nondurable goods merchant wholesalers,424810,1
420000,Other nondurable goods merchant wholesalers,424820,1
420000,Other nondurable goods merchant wholesalers,424910,1
420000,Other nondurable goods merchant wholesalers,424920,1
420000,Other nondurable goods merchant wholesalers,424930,1
420000,Other nondurable goods merchant wholesalers,424940,1
420000,Other nondurable goods merchant wholesalers,424950,1
420000,Other nondurable goods merchant wholesalers,424990,1
420000,Wholesale electronic markets and agents and brokers,425110,1
420000,Wholesale electronic markets and agents and brokers,425120,1
441000,Motor vehicle and parts dealers,441110,1
441000,Motor vehicle and parts dealers,441120,1
441000,Motor vehicle and parts dealers,441210,1
441000,Motor vehicle and parts dealers,441222,1
441000,Motor vehicle and parts dealers,441228,1
441000,Motor vehicle and parts dealers,441310,1
441000,Motor vehicle and parts dealers,441320,1
444000,Building material and garden equipment and supplies dealers,444110,1
444000,Building material and garden equipment and supplies dealers,444120,1
444000,Building material and garden equipment and supplies dealers,444130,1
444000,Building material and garden equipment and supplies dealers,444190,1
444000,Building material and garden equipment and supplies dealers,444210,1
444000,Building material and garden equipment and supplies dealers,444220,1
445000,Food and beverage stores,445110,1
445000,Food and beverage stores,445120,1
445000,Food and beverage stores,445210,1
445000,Food and beverage stores,445220,1
445000,Food and beverage stores,445230,1
445000,Food and beverage stores,445291,1
445000,Food and beverage stores,445292,1
445000,Food and beverage stores,445299,1
445000,Food and beverage stores,445310,1
446000,Health and personal care stores,446110,1
446000,Health and personal care stores,446120,1
446000,Health and personal care stores,446130,1
446000,Health and personal care stores,446191,1
446000,Health and personal care stores,446199,1
447000,Gasoline stations,447110,1
447000,Gasoline stations,447190,1
448000,Clothing and clothing accessories stores,448110,1
448000,Clothing and clothing accessories stores,448120,1
