NAICS,NAICSio
623110,623A00
623210,623B00
623220,623B00
623311,623A00
623312,623A00
623990,623B00
624110,624100
624120,624100
624190,624100
624210,624A00
624221,624A00
624229,624A00
624230,624A00
624310,624A00
624410,624400
711110,711100
711120,711100
711130,711100
711190,711100
711211,711200
711212,711200
711219,711200
711310,711A00
711320,711A00
711410,711A00
711510,711500
712110,712000
712120,712000
712130,712000
712190,712000
713110,713100
713120,713100
713210,713200
713290,713200
713910,713900
713920,713900
713930,713900
713940,713900
713950,713900
713990,713900
721110,721000
721120,721000
721191,721000
721199,721000
721211,721000
721214,721000
721310,721000
722110,722110
722211,722211
722212,722211
722213,722211
722310,722A00
722320,722A00
722330,722A00
722410,722A00
811111,811100
811112,811100
811113,811100
811118,811100
811121,811100
811122,811100
811191,811100
811192,811100
811198,811100
811211,811200
811212,811200
811213,811200
811219,811200
811310,811300
811411,811400
811412,811400
811420,811400
811430,811400
811490,811400
812111,812100
812112,812100
812113,812100
812191,812100
812199,812100
812210,812200
812220,812200
812310,812300
812320,812300
812331,812300
812332,812300
812910,812900
812921,812900
812922,812900
812930,812900
812990,812900
813110,813100
813211,813A00
813212,813A00
813219,813A00
813311,813A00
813312,813A00
813319,813A00
813410,813B00
813910,813B00
813920,813B00
813930,813B00
813940,813B00
813990,813B00
814110,814000
921110,S00700
921120,S00700
921130,S00700
921140,S00700
921150,S00102
921190,S00203
922110,S00700
922120,S00700
922130,S00700
922140,S00700
922150,S00700
922160,S00700
922190,S00700
923110,S00102
923120,S00102
923130,S00102
923140,S00102
924110,S00102
924120,S00102
925110,S00102
925120,S00102
926110,S00102
926120,S00700
926130,S00700
926140,S00700
926150,S00203
927110,S00102
928110,S00102
928120,S00102
