TAZ,CountyFIPS,StateFIPS,LEmp,n2,PctEmp,CumPctEmp,EmpRank
3459,43,1,5081,3133,1,1,10
3459,43,1,3714,4445,1,1,10
3459,43,1,2362,4849,1,1,10
3391,45,1,83,11,1,1,10
3391,45,1,4,21,1,1,10
3391,45,1,119,22,1,1,10
3391,45,1,587,23,1,1,10
3391,45,1,180,42,1,1,10
3391,45,1,55,51,1,1,10
3391,45,1,354,52,1,1,10
3391,45,1,200,53,1,1,10
3391,45,1,570,54,1,1,10
3391,45,1,288,55,1,1,10
3391,45,1,429,56,1,1,10
3391,45,1,1604,61,1,1,10
3391,45,1,1315,62,1,1,10
3391,45,1,21,71,1,1,10
3391,45,1,1087,72,1,1,10
3391,45,1,229,81,1,1,10
3391,45,1,540,92,1,1,10
3391,45,1,4485,3133,1,1,10
3391,45,1,1091,4445,1,1,10
3391,45,1,821,4849,1,1,10
3360,47,1,134,11,1,1,10
3360,47,1,32,21,1,1,10
3360,47,1,113,22,1,1,10
3360,47,1,331,23,1,1,10
3360,47,1,252,42,1,1,10
3360,47,1,85,51,1,1,10
3360,47,1,248,52,1,1,10
3360,47,1,170,53,1,1,10
3360,47,1,300,54,1,1,10
3360,47,1,77,55,1,1,10
3360,47,1,393,56,1,1,10
3360,47,1,1535,61,1,1,10
3360,47,1,2127,62,1,1,10
3360,47,1,54,71,1,1,10
3360,47,1,953,72,1,1,10
3360,47,1,440,81,1,1,10
3360,47,1,991,92,1,1,10
3360,47,1,2855,3133,1,1,10
3360,47,1,1700,4445,1,1,10
3360,47,1,91,4849,1,1,10
3411,49,1,267,11,1,1,10
3411,49,1,11,21,1,1,10
3411,49,1,263,22,1,1,10
3411,49,1,692,23,1,1,10
3411,49,1,702,42,1,1,10
3411,49,1,153,51,1,1,10
3411,49,1,454,52,1,1,10
3411,49,1,138,53,1,1,10
3411,49,1,407,54,1,1,10
3411,49,1,39,55,1,1,10
3411,49,1,427,56,1,1,10
3411,49,1,1829,61,1,1,10
3411,49,1,2266,62,1,1,10
3411,49,1,50,71,1,1,10
3411,49,1,1436,72,1,1,10
3411,49,1,301,81,1,1,10
3411,49,1,972,92,1,1,10
3411,49,1,7100,3133,1,1,10
3411,49,1,2146,4445,1,1,10
3411,49,1,1077,4849,1,1,10
3418,51,1,144,11,1,1,10
3418,51,1,55,21,1,1,10
3418,51,1,142,22,1,1,10
3418,51,1,872,23,1,1,10
3418,51,1,269,42,1,1,10
3418,51,1,163,51,1,1,10
3418,51,1,460,52,1,1,10
3418,51,1,183,53,1,1,10
3418,51,1,500,54,1,1,10
3418,51,1,54,55,1,1,10
3418,51,1,385,56,1,1,10
3418,51,1,2254,61,1,1,10
3418,51,1,2113,62,1,1,10
3418,51,1,1322,71,1,1,10
3418,51,1,1904,72,1,1,10
3418,51,1,402,81,1,1,10
3418,51,1,1480,92,1,1,10
3418,51,1,2460,3133,1,1,10
3418,51,1,3306,4445,1,1,10
3418,51,1,193,4849,1,1,10
3460,53,1,199,11,1,1,10
3460,53,1,246,21,1,1,10
3460,53,1,149,22,1,1,10
3460,53,1,538,23,1,1,10
3460,53,1,250,42,1,1,10
3460,53,1,61,51,1,1,10
3460,53,1,471,52,1,1,10
3460,53,1,87,53,1,1,10
3460,53,1,188,54,1,1,10
3460,53,1,64,55,1,1,10
3460,53,1,192,56,1,1,10
3460,53,1,1039,61,1,1,10
3460,53,1,1231,62,1,1,10
3460,53,1,245,71,1,1,10
3460,53,1,1636,72,1,1,10
3460,53,1,268,81,1,1,10
3460,53,1,1588,92,1,1,10
3460,53,1,2112,3133,1,1,10
3460,53,1,1489,4445,1,1,10
3460,53,1,342,4849,1,1,10
3383,55,1,29,11,1,1,10
3383,55,1,45,21,1,1,10
3383,55,1,264,22,1,1,10
3383,55,1,1036,23,1,1,10
3383,55,1,962,42,1,1,10
3383,55,1,342,51,1,1,10
3383,55,1,944,52,1,1,10
3383,55,1,311,53,1,1,10
3383,55,1,785,54,1,1,10
3383,55,1,103,55,1,1,10
3383,55,1,3611,56,1,1,10
3383,55,1,3129,61,1,1,10
3383,55,1,7136,62,1,1,10
3383,55,1,222,71,1,1,10
3383,55,1,3540,72,1,1,10
3383,55,1,823,81,1,1,10
3383,55,1,1858,92,1,1,10
3383,55,1,5272,3133,1,1,10
3383,55,1,4696,4445,1,1,10
3383,55,1,994,4849,1,1,10
3463,57,1,139,11,1,1,10
3463,57,1,335,21,1,1,10
3463,57,1,41,22,1,1,10
3463,57,1,102,23,1,1,10
3463,57,1,67,42,1,1,10
3463,57,1,35,51,1,1,10
3463,57,1,151,52,1,1,10
3463,57,1,19,53,1,1,10
3463,57,1,37,54,1,1,10
3463,57,1,13,55,1,1,10
3463,57,1,29,56,1,1,10
3463,57,1,459,61,1,1,10
3463,57,1,683,62,1,1,10
3463,57,1,3,71,1,1,10
3463,57,1,236,72,1,1,10
3463,57,1,67,81,1,1,10
3463,57,1,237,92,1,1,10
3463,57,1,706,3133,1,1,10
3463,57,1,564,4445,1,1,10
3463,57,1,167,4849,1,1,10
3368,59,1,94,11,1,1,10
3368,59,1,57,21,1,1,10
3368,59,1,122,22,1,1,10
3368,59,1,277,23,1,1,10
3368,59,1,206,42,1,1,10
3368,59,1,49,51,1,1,10
3368,59,1,345,52,1,1,10
3368,59,1,55,53,1,1,10
3368,59,1,165,54,1,1,10
3368,59,1,35,55,1,1,10
3368,59,1,91,56,1,1,10
3368,59,1,1103,61,1,1,10
3368,59,1,919,62,1,1,10
3368,59,1,21,71,1,1,10
3368,59,1,550,72,1,1,10
3368,59,1,145,81,1,1,10
3368,59,1,378,92,1,1,10
3368,59,1,4009,3133,1,1,10
3368,59,1,892,4445,1,1,10
3368,59,1,304,4849,1,1,10
3398,61,1,226,11,1,1,10
3398,61,1,0,21,0,0,1
3398,61,1,91,22,1,1,10
3398,61,1,164,23,1,1,10
3398,61,1,311,42,1,1,10
3398,61,1,2,51,1,1,10
3398,61,1,156,52,1,1,10
3398,61,1,47,53,1,1,10
3398,61,1,131,54,1,1,10
3398,61,1,27,55,1,1,10
3398,61,1,60,56,1,1,10
3398,61,1,514,61,1,1,10
3398,61,1,631,62,1,1,10
3398,61,1,5,71,1,1,10
3398,61,1,239,72,1,1,10
3398,61,1,100,81,1,1,10
3398,61,1,346,92,1,1,10
3398,61,1,743,3133,1,1,10
3398,61,1,701,4445,1,1,10
3398,61,1,188,4849,1,1,10
3430,63,1,51,11,1,1,10
3430,63,1,3,21,1,1,10
3430,63,1,20,22,1,1,10
3430,63,1,46,23,1,1,10
3430,63,1,10,42,1,1,10
3430,63,1,11,51,1,1,10
3430,63,1,25,52,1,1,10
3430,63,1,6,53,1,1,10
3430,63,1,11,54,1,1,10
3430,63,1,0,55,0,0,1
3430,63,1,21,56,1,1,10
3430,63,1,248,61,1,1,10
3430,63,1,243,62,1,1,10
3430,63,1,125,71,1,1,10
3430,63,1,75,72,1,1,10
3430,63,1,49,81,1,1,10
3430,63,1,183,92,1,1,10
3430,63,1,433,3133,1,1,10
3430,63,1,173,4445,1,1,10
3430,63,1,40,4849,1,1,10
3468,65,1,199,11,1,1,10
3468,65,1,0,21,0,0,1
3468,65,1,25,22,1,1,10
3468,65,1,200,23,1,1,10
3468,65,1,18,42,1,1,10
3468,65,1,24,51,1,1,10
3468,65,1,52,52,1,1,10
3468,65,1,18,53,1,1,10
3468,65,1,30,54,1,1,10
