fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
23,19,62141/,B,D,0,D,0,D,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,621410,B,D,0,D,0,D,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,62142/,,G,343,G,2825,G,11672,30,7,7,10,6,0,0,0,0,0,0,0,0,0,11,19
23,19,621420,,G,343,G,2825,G,11672,30,7,7,10,6,0,0,0,0,0,0,0,0,0,11,19
23,19,62149/,,H,129,H,1257,H,5159,9,1,2,2,4,0,0,0,0,0,0,0,0,0,11,19
23,19,621491,A,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,19
23,19,621493,A,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,19
23,19,621498,,G,93,G,729,G,2976,7,1,2,2,2,0,0,0,0,0,0,0,0,0,11,19
23,19,6215//,,H,249,G,3062,G,12520,9,3,1,3,0,1,1,0,0,0,0,0,0,0,11,19
23,19,62151/,,H,249,G,3062,G,12520,9,3,1,3,0,1,1,0,0,0,0,0,0,0,11,19
23,19,621511,C,D,0,D,0,D,0,6,2,0,2,0,1,1,0,0,0,0,0,0,0,11,19
23,19,621512,,H,25,G,373,G,1777,3,1,1,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,6216//,,G,566,G,3518,G,14408,16,2,1,3,6,3,1,0,0,0,0,0,0,0,11,19
23,19,62161/,,G,566,G,3518,G,14408,16,2,1,3,6,3,1,0,0,0,0,0,0,0,11,19
23,19,621610,,G,566,G,3518,G,14408,16,2,1,3,6,3,1,0,0,0,0,0,0,0,11,19
23,19,6219//,,G,148,H,825,H,3313,6,0,1,1,3,1,0,0,0,0,0,0,0,0,11,19
23,19,62191/,,G,102,H,435,H,1794,3,0,0,0,2,1,0,0,0,0,0,0,0,0,11,19
23,19,621910,,G,102,H,435,H,1794,3,0,0,0,2,1,0,0,0,0,0,0,0,0,11,19
23,19,62199/,B,D,0,D,0,D,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,11,19
23,19,621999,B,D,0,D,0,D,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,11,19
23,19,622///,,H,4489,H,65929,H,273834,6,0,0,0,0,0,3,0,2,1,0,0,1,0,11,19
23,19,6221//,,H,3776,H,56115,H,236266,4,0,0,0,0,0,2,0,1,1,0,0,1,0,11,19
23,19,62211/,,H,3776,H,56115,H,236266,4,0,0,0,0,0,2,0,1,1,0,0,1,0,11,19
23,19,622110,,H,3776,H,56115,H,236266,4,0,0,0,0,0,2,0,1,1,0,0,1,0,11,19
23,19,6222//,F,D,0,D,0,D,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,11,19
23,19,62221/,F,D,0,D,0,D,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,11,19
23,19,622210,F,D,0,D,0,D,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,11,19
23,19,623///,,G,2821,G,17943,G,73259,117,39,22,25,10,16,5,0,0,0,0,0,0,0,11,19
23,19,6231//,,G,1182,G,7399,G,31144,17,3,0,1,1,9,3,0,0,0,0,0,0,0,11,19
23,19,62311/,,G,1182,G,7399,G,31144,17,3,0,1,1,9,3,0,0,0,0,0,0,0,11,19
23,19,623110,,G,1182,G,7399,G,31144,17,3,0,1,1,9,3,0,0,0,0,0,0,0,11,19
23,19,6232//,,G,1136,G,7846,G,31800,75,29,20,16,5,3,2,0,0,0,0,0,0,0,11,19
23,19,62321/,,G,744,G,4632,G,18062,56,25,13,11,4,2,1,0,0,0,0,0,0,0,11,19
23,19,623210,,G,744,G,4632,G,18062,56,25,13,11,4,2,1,0,0,0,0,0,0,0,11,19
23,19,62322/,,H,392,H,3214,H,13738,19,4,7,5,1,1,1,0,0,0,0,0,0,0,11,19
23,19,623220,,H,392,H,3214,H,13738,19,4,7,5,1,1,1,0,0,0,0,0,0,0,11,19
23,19,6233//,,H,440,G,2178,G,8522,17,4,1,4,4,4,0,0,0,0,0,0,0,0,11,19
23,19,62331/,,H,440,G,2178,G,8522,17,4,1,4,4,4,0,0,0,0,0,0,0,0,11,19
23,19,623311,B,D,0,D,0,D,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,19
23,19,623312,,G,376,G,1842,G,7178,16,4,1,4,4,3,0,0,0,0,0,0,0,0,11,19
23,19,6239//,B,D,0,D,0,D,0,8,3,1,4,0,0,0,0,0,0,0,0,0,0,11,19
23,19,62399/,B,D,0,D,0,D,0,8,3,1,4,0,0,0,0,0,0,0,0,0,0,11,19
23,19,623990,B,D,0,D,0,D,0,8,3,1,4,0,0,0,0,0,0,0,0,0,0,11,19
23,19,624///,,G,2613,G,13628,G,56190,118,48,17,18,23,6,6,0,0,0,0,0,0,0,11,19
23,19,6241//,,G,1827,G,10926,G,45481,55,15,3,12,15,5,5,0,0,0,0,0,0,0,11,19
23,19,62411/,,G,142,G,1083,G,4751,6,1,0,3,1,1,0,0,0,0,0,0,0,0,11,19
23,19,624110,,G,142,G,1083,G,4751,6,1,0,3,1,1,0,0,0,0,0,0,0,0,11,19
23,19,62412/,,G,1256,G,6307,G,26235,29,6,2,5,8,4,4,0,0,0,0,0,0,0,11,19
23,19,624120,,G,1256,G,6307,G,26235,29,6,2,5,8,4,4,0,0,0,0,0,0,0,11,19
23,19,62419/,E,S,0,H,3536,H,14495,20,8,1,4,6,0,1,0,0,0,0,0,0,0,11,19
23,19,624190,E,S,0,H,3536,H,14495,20,8,1,4,6,0,1,0,0,0,0,0,0,0,11,19
23,19,6242//,,G,63,G,444,G,1710,6,2,3,0,1,0,0,0,0,0,0,0,0,0,11,19
23,19,62421/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,624210,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,62422/,,G,53,H,362,H,1372,4,1,2,0,1,0,0,0,0,0,0,0,0,0,11,19
23,19,624221,B,D,0,D,0,D,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,11,19
23,19,624229,A,D,0,D,0,D,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,62423/,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,624230,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,6243//,E,D,0,D,0,D,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,11,19
23,19,62431/,E,D,0,D,0,D,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,11,19
23,19,624310,E,D,0,D,0,D,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,11,19
23,19,6244//,,G,383,G,1439,G,5623,53,30,11,6,6,0,0,0,0,0,0,0,0,0,11,19
23,19,62441/,,G,383,G,1439,G,5623,53,30,11,6,6,0,0,0,0,0,0,0,0,0,11,19
23,19,624410,,G,383,G,1439,G,5623,53,30,11,6,6,0,0,0,0,0,0,0,0,0,11,19
23,19,71----,,G,496,H,1819,G,8673,62,40,11,7,2,1,1,0,0,0,0,0,0,0,11,19
23,19,711///,B,S,0,H,519,G,2844,14,11,1,2,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7111//,A,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71111/,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,711110,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71113/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,711130,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7112//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71121/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,711212,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7113//,A,S,0,G,97,H,919,6,5,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71131/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,711310,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71132/,A,S,0,G,96,H,900,5,4,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,711320,A,S,0,G,96,H,900,5,4,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7115//,A,S,0,S,0,H,1388,5,4,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71151/,A,S,0,S,0,H,1388,5,4,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,711510,A,S,0,S,0,H,1388,5,4,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,712///,B,S,0,H,139,G,612,7,5,1,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7121//,B,S,0,H,139,G,612,7,5,1,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71211/,B,S,0,H,132,G,557,6,4,1,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,712110,B,S,0,H,132,G,557,6,4,1,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71212/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,712120,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,713///,,G,420,H,1161,G,5217,41,24,9,4,2,1,1,0,0,0,0,0,0,0,11,19
23,19,7131//,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71312/,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,713120,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7139//,,G,404,H,1129,G,5075,40,24,9,3,2,1,1,0,0,0,0,0,0,0,11,19
23,19,71391/,A,S,0,H,82,H,1218,11,10,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,713910,A,S,0,H,82,H,1218,11,10,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71392/,B,D,0,D,0,D,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,11,19
23,19,713920,B,D,0,D,0,D,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,11,19
23,19,71394/,,H,290,H,834,H,2946,11,2,4,2,1,1,1,0,0,0,0,0,0,0,11,19
23,19,713940,,H,290,H,834,H,2946,11,2,4,2,1,1,1,0,0,0,0,0,0,0,11,19
23,19,71395/,,G,23,H,68,H,321,4,1,3,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,713950,,G,23,H,68,H,321,4,1,3,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,71399/,A,S,0,S,0,G,458,12,11,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,713990,A,S,0,S,0,G,458,12,11,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,72----,,G,6062,G,21869,G,94782,344,109,58,77,77,20,2,1,0,0,0,0,0,0,11,19
23,19,721///,,H,1129,H,5690,H,24735,70,40,11,4,13,1,0,1,0,0,0,0,0,0,11,19
23,19,7211//,,H,1096,H,5580,H,24071,47,19,9,4,13,1,0,1,0,0,0,0,0,0,11,19
23,19,72111/,,G,639,G,2515,G,11327,41,14,9,4,13,1,0,0,0,0,0,0,0,0,11,19
